datetime;15;16.11111111;17.22222222;18.33333333;19.44444444;20.55555556;21.66666667;22.77777778;23.88888889;25
01.03.17 06:00;22282531;22661561;22699029;22986121;24042411;22211929;24600381;24681070;20215790;20523025
01.03.17 07:00;22902234;23824291;23820839;24367751;25094351;23261489;25687171;25733520;21194890;21740708
01.03.17 08:00;18184526;19747500;19774580;19784490;19882350;19884690;21347590;19766910;18365188;18865662
01.03.17 09:00;14357480;14408630;14430610;14486950;14548190;14548580;14631890;14660170;14646440;14646440
01.03.17 10:00;9689523;9687273;9692728;9766617;9812606;9813586;9789118;9816112;9834706;9834706
01.03.17 11:00;9358368;9358368;9358204;9407618;9450238;9458064;9468783;9467323;9467323;9492358
01.03.17 12:00;10426884;10426884;10435124;10494054;10541494;10542554;10546774;10546654;10530374;10531294
01.03.17 13:00;4288222;4288222;4288167;4288167;4316872;4330144;4323374;4349369;4349369;4351348
01.03.17 14:00;4263055;4263055;4263000;4263000;4291705;4303461;4296691;4365188;4365188;4367167
01.03.17 15:00;8085084;8085084;8085084;8085084;8104322;8104322;8104322;8131260;8128434;8166250
01.03.17 16:00;8995316;9079676;9091666;9105846;9170843;9170843;9188043;9198022;9194429;9225373
01.03.17 17:00;8995316;9079676;9091666;9105846;9170843;9170843;9188043;9198022;9194429;9225373
01.03.17 18:00;8995316;9079676;9091666;9105846;9170843;9170843;9188043;9198022;9194429;9225373
01.03.17 19:00;8995316;9079676;9091666;9105846;9170843;9170843;9188043;9198022;9194429;9225373
01.03.17 20:00;2346534;2346534;2343313;2320520;2359413;2411324;2411324;2406024;2406024;2406024
01.03.17 21:00;8995316;9079676;9091666;9105846;9170843;9170843;9188043;9198022;9194429;9225373
01.03.17 22:00;8995316;9079676;9091666;9105846;9170843;9170843;9188043;9198022;9194429;9225373
01.03.17 23:00;8995316;9079676;9091666;9105846;9170843;9170843;9188043;9198022;9194429;9225373
01.04.17 00:00;3034964;4190791;3805602;3311929;3373500;3392227;6354431;4653601;3345435;3665600
01.04.17 01:00;3101718;4432655;4040906;3515879;3571792;3601835;6348267;4742487;3434321;3754486
01.04.17 02:00;3108937;4439874;4048125;3523098;3579011;3601835;6348267;4742487;3434321;3754486
01.04.17 03:00;3175935;3175935;2405273;1880246;1936159;1958983;6348267;4742487;3434321;3754486
