name,Buildings_DH_Energy.y,Buildings_DC_Energy.y,Buildings_eleHP_heat_Energy.y,Buildings_eleHP_cool_Energy.y,Buildings_IH_Energy.y,Buildings_IC_Energy.y,Buildings_PumpingElectricity_Energy.y,DES_heat_Energy.y,DES_cool_Energy.y,HeatLoss_Energy.y,Total_Pipe_Length,Office2,Office1,Office5,Office3,Office4,NewDistrictSystem,Pipe_Office2_Office1,Pipe_Office2_Office5,Pipe_Office2_Office3,Pipe_Office2_Office4,Pipe_Office2_NewDistrictSystem,Pipe_Office1_Office5,Pipe_Office1_Office3,Pipe_Office1_Office4,Pipe_Office1_NewDistrictSystem,Pipe_Office5_Office3,Pipe_Office5_Office4,Pipe_Office5_NewDistrictSystem,Pipe_Office3_Office4,Pipe_Office3_NewDistrictSystem,Pipe_Office4_NewDistrictSystem
case1,-43618570000.0,2671617500.0,21600000.0,21600000.0,0.0,0.0,223415760.0,59417297000.0,-0.00017575549,-117720270000.0,1543.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
case2,-43618570000.0,2671617500.0,21600000.0,21600000.0,0.0,0.0,223415760.0,59417297000.0,-0.00017575549,-117720270000.0,1543.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
